date	STCK
20/08/2020 00:00	261.5
21/08/2020 00:00	268.65
24/08/2020 00:00	271.24
25/08/2020 00:00	280.82
26/08/2020 00:00	284.21
27/08/2020 00:00	300.21
28/08/2020 00:00	295.15
31/08/2020 00:00	293.95
01/09/2020 00:00	295.54
02/09/2020 00:00	298.81
03/09/2020 00:00	295.9
04/09/2020 00:00	286.43
08/09/2020 00:00	270.64
09/09/2020 00:00	275.8
10/09/2020 00:00	275.35
11/09/2020 00:00	270.4
14/09/2020 00:00	271.37
15/09/2020 00:00	272.42
16/09/2020 00:00	267.49
17/09/2020 00:00	258.93
18/09/2020 00:00	258.34
21/09/2020 00:00	247.41
22/09/2020 00:00	253.31
23/09/2020 00:00	255.5
24/09/2020 00:00	246.5
25/09/2020 00:00	249.18
28/09/2020 00:00	259.4
29/09/2020 00:00	257.95
30/09/2020 00:00	262.28
01/10/2020 00:00	265.87
02/10/2020 00:00	261.04
05/10/2020 00:00	262.02
06/10/2020 00:00	262
07/10/2020 00:00	259.01
08/10/2020 00:00	259.64
09/10/2020 00:00	264.45
12/10/2020 00:00	270.15
13/10/2020 00:00	277.284
14/10/2020 00:00	271.82
15/10/2020 00:00	267.64
16/10/2020 00:00	267.83
19/10/2020 00:00	265.67
20/10/2020 00:00	263.06
21/10/2020 00:00	279.29
22/10/2020 00:00	279.81
23/10/2020 00:00	278.73
26/10/2020 00:00	282.83
27/10/2020 00:00	279
28/10/2020 00:00	278.15
29/10/2020 00:00	276.48
30/10/2020 00:00	274
02/11/2020 00:00	264.92
03/11/2020 00:00	263.18
04/11/2020 00:00	281.48
05/11/2020 00:00	291.897
06/11/2020 00:00	293.66
09/11/2020 00:00	289.86
10/11/2020 00:00	273.08
11/11/2020 00:00	273.47
12/11/2020 00:00	276.96
13/11/2020 00:00	277.4
16/11/2020 00:00	274.77
17/11/2020 00:00	277.28
18/11/2020 00:00	273.9
19/11/2020 00:00	270.82
20/11/2020 00:00	272.45
23/11/2020 00:00	270.77
24/11/2020 00:00	268
25/11/2020 00:00	277.91
27/11/2020 00:00	277.3
30/11/2020 00:00	276.02
01/12/2020 00:00	279.16
02/12/2020 00:00	285.38
03/12/2020 00:00	286.13
04/12/2020 00:00	280.15
07/12/2020 00:00	279.25
08/12/2020 00:00	286.23
09/12/2020 00:00	283.72
10/12/2020 00:00	277.12
11/12/2020 00:00	274.51
14/12/2020 00:00	273.34
15/12/2020 00:00	274.74
